,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,Alc_Tot,Cond_elec,Dur_Tot,SDT,Fe_Tot,Mn_Tot,Fluo,CF,N_NO3,As_Tot,Cd_Tot,Cr_Tot,Hg_Tot,Pb_Tot
350,OCCCN5859,OCCCN5859-250922,POZO RICARDO FLORES MAGON,SUBTERRÁNEO,2022-09-18 00:00:00,2022,135.7,2770.0,822.7,2186.5,0.313,0.002,0.9,10.0,13.273,0.022,0.00130148,0.0012,0.000201289,0.00154
351,OCCCN5872,OCCCN5872-091022,POZO NAZARENO 2,SUBTERRÁNEO,2022-10-04 00:00:00,2022,233.4,904.0,306.8,589.8,0.011,0.00021,1.12,10.0,6.577,0.042,0.00130148,0.0012,0.000201289,0.00154
352,OCCCN5858,OCCCN5858-250922,POZO ORIENTE AGUANAVAL,SUBTERRÁNEO,2022-09-19 00:00:00,2022,249.9,3193.0,1080.2,2718.5,0.308,0.00021,2.0,10.0,17.27,0.076,0.00130148,0.009,0.000201289,0.00154
353,OCCCN5874,OCCCN5874-091022,POZO NAZARENO DE ABAJO,SUBTERRÁNEO,2022-10-06 00:00:00,2022,187.3,1756.0,477.9,1177.0,0.133,0.002,0.94,10.0,7.604,0.041,0.00130148,0.0012,0.000201289,0.00154
354,OCCCN5857,OCCCN5857-250922,POZO LOS SAUCES,SUBTERRÁNEO,2022-09-18 00:00:00,2022,232.6,970.0,359.4,704.2,0.04,0.001,0.55,3654.0,38.467,0.0015,0.00130148,0.0012,0.000201289,0.00154
355,OCCCN5864,OCCCN5864-250922,POZO SANTA ROSA,SUBTERRÁNEO,2022-09-19 00:00:00,2022,234.6,823.0,211.9,545.0,0.018,0.004,1.05,10.0,4.984,0.028,0.00130148,0.0012,0.000201289,0.00154
356,OCCCN5871,OCCCN5871-091022,POZO NAZARENO,SUBTERRÁNEO,2022-10-04 00:00:00,2022,230.4,776.0,277.3,474.6,0.127,0.013,0.7,10.0,4.326,0.045,0.00130148,0.0012,0.000201289,0.00154
357,OCCCN5863,OCCCN5863-250922,POZO SAN VICENTE DE MELONES,SUBTERRÁNEO,2022-09-18 00:00:00,2022,255.0,900.0,247.2,614.2,0.0073,0.00021,2.52,10.0,3.314,0.053,0.00130148,0.0012,0.000201289,0.00154
358,OCCCN5879,OCCCN5879-021022,POZO BUEN DIA,SUBTERRÁNEO,2022-09-29 00:00:00,2022,246.6,2473.0,747.9,2090.7,0.086,0.004,1.37,97.0,3.497,0.078,0.00130148,0.0012,0.000201289,0.00154
359,OCCCN5880,OCCCN5880-021022,POZO EL DIAMANTE,SUBTERRÁNEO,2022-09-29 00:00:00,2022,259.8,2517.0,864.2,2257.0,0.12,0.004,2.77,52.0,8.432,0.085,0.00130148,0.0012,0.000201289,0.00154
360,OCCCN5881,OCCCN5881-021022,POZO EL JARALITO,SUBTERRÁNEO,2022-09-29 00:00:00,2022,79.2,1558.0,943.1,1384.3,0.052,0.008,1.81,228.0,0.042,0.271,0.00130148,0.0012,0.000201289,0.00154
361,OCCCN5876,OCCCN5876-310722,POZO PICARDIAS,SUBTERRÁNEO,2022-07-28 00:00:00,2022,215.5,990.0,262.0,680.4,0.0041,0.00021,1.97,10.0,6.106,0.028,0.00130148,0.0012,0.000201289,0.00154
362,OCCCN5877,OCCCN5877-021022,POZO 30 DE NOVIEMBRE (NUEVO),SUBTERRÁNEO,2022-09-15 00:00:00,2022,230.5,566.0,307.5,369.4,0.0097,0.002,1.34,10.0,4.95,0.053,0.00130148,0.0012,0.000201289,0.00154
363,OCCCN5878,OCCCN5878-021022,POZO 5 DE MAYO,SUBTERRÁNEO,2022-10-03 00:00:00,2022,347.1,953.0,365.8,580.8,0.012,0.00021,0.55,10.0,1.879,0.0015,0.00130148,0.0012,0.000201289,0.00154
377,OCFSU3138,OCFSU3138-040922,SANTA TERESA 2A. SECCION,SUBTERRÁNEO,2022-08-17 00:00:00,2022,103.9,218.0,66.3,152.6,1.621,0.164,0.1,10.0,0.031,0.0015,0.00130148,0.0012,0.000201289,0.00154
378,OCFSU3139,OCFSU3139-040922,EST. JUAREZ,SUBTERRÁNEO,2022-08-17 00:00:00,2022,92.8,197.0,68.3,141.6,0.014,0.003,0.13,10.0,0.266,0.0015,0.00130148,0.0012,0.000201289,0.00154
379,OCFSU3131,OCFSU3131-040922,MACAYO 3RA. SECCION,SUBTERRÁNEO,2022-08-17 00:00:00,2022,433.2,889.0,433.7,531.8,0.0041,0.734,0.19,10.0,0.231,0.0015,0.00130148,0.0012,0.000201289,0.00154
380,OCGCE3209,OCGCE3209-280822,CRAS CUENCA PAPALOAPAN (POBL. NOPALTEPEC),SUBTERRÁNEO,2022-08-25 00:00:00,2022,58.0,292.0,75.7,240.0,0.316,0.009,0.0364,30.0,3.501,0.0015,0.00130148,0.015,0.000201289,0.00245
381,OCGCE3261,OCGCE3261-280822,CMAS PEROTE (CERRO COLORADO),SUBTERRÁNEO,2022-08-22 00:00:00,2022,256.0,499.0,313.9,492.0,0.11,0.00139,0.0364,30.0,2.808,0.0015,0.00130148,0.015,0.000201289,0.00177
383,OCGCE3324,OCGCE3324-280822,COMISION REGIONAL DE AGUA Y SANEAMIENTO POZO 8,SUBTERRÁNEO,2022-09-19 00:00:00,2022,256.2,3131.0,1069.4,2410.0,0.331,0.074,0.0364,3.0,0.135,0.0015,0.00130148,0.007,0.000206,0.00154
384,OCGCE3341,OCGCE3341-280822,CMASA EL CONCHAL,SUBTERRÁNEO,2022-08-23 00:00:00,2022,359.0,2213.0,532.9,1858.0,0.112,0.048,0.0364,30.0,3.645,0.0037,0.00130148,0.013,0.000201289,0.00186
385,OCGCE3385,OCGCE3385-280822,H. AYUNTAMIENTO CONSTITUCIONAL ORIZABA (POBLADO EL TREBOL),SUBTERRÁNEO,2022-08-26 00:00:00,2022,129.0,359.0,146.5,300.0,0.206,0.01,0.0364,30.0,4.151,0.0015,0.00130148,0.015,0.000201289,0.00154
