,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,ODs%,ODm%,ODf%,DBO5,DQO,TOX_D48s,TOX_D48f,TOX_F15s,TOX_F15f
243,OCLSP3791M1,OCLSP3791M1-040922,"LAGO DE CHAPALA, ESTACION LACUSTRE 05",LÉNTICO (HUMEDAL),2022-08-31 00:00:00,2022,41.7,1022.0,10.0,107.5,102.1,100.7,2.0,18.22,1.0,1.0,1.0,1.0
250,OCLSP3843M1,OCLSP3843M1-040922,"LAGO DE CHAPALA, ESTACION LACUSTRE 11",LÉNTICO (HUMEDAL),2022-08-31 00:00:00,2022,26.9,1239.0,10.0,98.7,93.2,87.5,2.0,31.08,1.0,1.0,1.0,1.0
256,OCLSP3864,OCLSP3864-140822,PRESA LAS PIEDRAS ENTRADA,LÉNTICO (HUMEDAL),2022-08-11 00:00:00,2022,40.9,146.0,10.0,103.3,89.9,83.5,2.0,11.08,1.0,1.0,1.0,1.0
263,OCLSP3852M1,OCLSP3852M1-040922,"LAGO DE CHAPALA, ESTACION LACUSTRE 04",LÉNTICO (HUMEDAL),2022-09-01 00:00:00,2022,24.8,2247.0,10.0,94.8,94.5,89.4,2.0,21.53,1.0,1.0,1.0,1.0
267,OCLSP3960M1,OCLSP3960M1-030722,PRESA LA YESCA I,LÉNTICO,2022-07-01 00:00:00,2022,10.0,10.0,10.0,148.6,25.9,19.4,2.0,10.0,1.0,1.0,1.23,1.0
269,OCLSP3961M1,OCLSP3961M1-030722,PRESA LA YESCA III,LÉNTICO,2022-07-01 00:00:00,2022,10.0,10.0,10.0,190.7,25.2,25.3,6.3,10.0,1.0,1.0,1.0,2.04
270,OCLSP3962M1,OCLSP3962M1-030722,PRESA LA YESCA II,LÉNTICO,2022-07-01 00:00:00,2022,10.0,10.0,10.0,181.0,23.8,19.6,5.92,10.0,1.0,1.0,1.0,2.67
271,OCLSP3962M1,OCLSP3962M1-280822,PRESA LA YESCA II,LÉNTICO,2022-08-28 00:00:00,2022,13.4,2187.0,10.0,117.1,66.4,45.2,7.5,10.0,1.0,1.0,1.0,1.0
272,OCLSP3961M1,OCLSP3961M1-280822,PRESA LA YESCA III,LÉNTICO,2022-08-28 00:00:00,2022,26.5,573.0,10.0,143.8,62.7,43.4,6.8,10.0,1.0,1.0,1.0,1.0
273,OCLSP3960M1,OCLSP3960M1-280822,PRESA LA YESCA I,LÉNTICO,2022-08-28 00:00:00,2022,13.7,20.0,10.0,132.9,62.8,48.1,7.1,10.0,1.0,1.0,1.0,1.0
275,OCNOR4054,OCNOR4054-040922,PRESA EL NOVILLO 5,LÉNTICO (HUMEDAL),2022-08-30 00:00:00,2022,15.6,161.0,10.0,117.9,44.7,28.8,2.0,28.98,1.0,1.0,1.0,1.0
276,OCNOR4056,OCNOR4056-040922,PRESA EL NOVILLO 4,LÉNTICO (HUMEDAL),2022-08-30 00:00:00,2022,20.8,249.0,10.0,129.1,59.5,38.4,2.0,19.87,1.0,1.0,1.0,1.0
277,OCNOR4055,OCNOR4055-040922,PRESA EL NOVILLO 1,LÉNTICO (HUMEDAL),2022-08-30 00:00:00,2022,34.1,75.0,10.0,143.2,43.4,35.7,2.0,10.0,1.0,1.0,1.0,1.0
278,OCNOR4057,OCNOR4057-040922,PRESA EL NOVILLO 2,LÉNTICO (HUMEDAL),2022-08-30 00:00:00,2022,20.8,733.0,10.0,144.7,65.8,35.1,2.0,16.56,1.0,1.0,1.0,1.0
279,OCNOR4058,OCNOR4058-040922,PRESA EL NOVILLO 3,LÉNTICO (HUMEDAL),2022-08-30 00:00:00,2022,20.3,256.0,10.0,129.5,62.9,40.1,3.24,15.73,1.0,1.0,1.0,1.0
281,OCNOR4148,OCNOR4148-040922,PRESA ALVARO OBREGON 3,LÉNTICO (HUMEDAL),2022-08-29 00:00:00,2022,22.7,218.0,10.0,135.2,39.6,31.4,2.0,10.0,1.0,1.0,1.0,1.0
286,OCPNO4480,OCPNO4480-280822,PRESA SANALONA 4,LÉNTICO (HUMEDAL),2022-08-28 00:00:00,2022,86.4,2755.0,10.0,87.2,66.1,44.2,2.0,10.0,1.0,1.0,1.0,1.0
