,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,ODs%,ODm%,ODf%,DBO5,DQO,TOX_D48s,TOX_D48f,TOX_F15s,TOX_F15f
121,DLPUE2068,DLPUE2068-210822,PRESA MANUEL AVILA CAMACHO 6,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,21.0,24000.0,24000.0,10.0,10.0,10.0,22.67,73.71,1.0,1.0,1.0,1.0
122,DLQUE2134,DLQUE2134-040922,PRESA ZIMAPAN 2,LÉNTICO,2022-08-31 00:00:00,2022,82.0,43.0,15.0,168.9,84.1,10.0,22.5,32.37,1.0,1.0,1.0,1.0
128,DLSAN2314,DLSAN2314-040922,PRESA SAN JOSE 1,LÉNTICO,2022-10-04 00:00:00,2022,10.0,1100.0,20.0,64.0,57.0,48.0,5.53,51.15,1.0,1.0,1.0,1.0
129,DLSAN2292,DLSAN2292-280822,PRESA LA MUÑECA (OBRA DE TOMA),LÉNTICO,2022-10-03 00:00:00,2022,10.0,2400.0,1100.0,78.0,71.0,68.0,2.0,14.49,1.0,1.0,1.0,1.0
130,DLSAN2315,DLSAN2315-040922,PRESA EL POTOSINO 1,LÉNTICO,2022-10-04 00:00:00,2022,10.0,2400.0,1100.0,88.0,79.0,67.0,2.0,37.47,1.0,1.0,1.0,1.0
148,OCBAL2837,OCBAL2837-280822,LAGO DE TEQUESQUITENGO - 3,LÉNTICO (HUMEDAL),2022-08-22 00:00:00,2022,12.0,75.0,20.0,120.7,62.2,10.0,11.04,27.13,1.0,1.0,1.0,1.0
149,OCBAL2836,OCBAL2836-280822,TEQUESQUITENGO (AL CENTRO LAG),LÉNTICO (HUMEDAL),2022-08-22 00:00:00,2022,16.0,23.0,4.0,117.9,60.5,10.0,9.72,26.18,1.0,1.0,1.0,1.0
150,OCBAL2838,OCBAL2838-280822,LAGO DE TEQUESQUITENGO - 2,LÉNTICO (HUMEDAL),2022-08-22 00:00:00,2022,14.0,9.0,9.0,116.5,112.4,98.8,14.88,28.56,1.0,1.0,1.0,1.0
151,OCBAL2839,OCBAL2839-280822,LAGO DE TEQUESQUITENGO - SALIDA,LÉNTICO (HUMEDAL),2022-08-22 00:00:00,2022,12.0,23.0,23.0,119.4,62.9,10.0,9.84,19.99,1.0,1.0,1.0,1.0
152,OCBAL2840,OCBAL2840-280822,LAGO DE TEQUESQUITENGO - 1 (NW),LÉNTICO (HUMEDAL),2022-08-22 00:00:00,2022,12.0,23.0,9.0,117.9,52.5,10.0,9.12,24.28,1.0,1.0,1.0,1.0
153,OCFSU0001RNL21,OCFSU0001RNL21-180922,PRESA MALPASO NO 1 CHIAPAS ,LÉNTICO,2022-09-12 00:00:00,2022,10.0,93.0,93.0,101.9,60.2,37.3,11.28,20.3,1.0,1.0,1.0,1.0
157,OCFSU2953,OCFSU2953-110922,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 5,LÉNTICO (HUMEDAL),2022-09-06 00:00:00,2022,26.0,43.0,15.0,125.3,19.1,10.0,28.14,31.68,1.0,1.0,1.0,1.0
158,OCFSU2951,OCFSU2951-110922,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 6,LÉNTICO (HUMEDAL),2022-09-06 00:00:00,2022,34.0,7.0,7.0,92.2,18.1,10.0,29.28,37.92,1.0,1.0,1.0,1.0
160,OCFSU2949,OCFSU2949-110922,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 8,LÉNTICO (HUMEDAL),2022-09-06 00:00:00,2022,20.0,3.0,3.0,103.4,10.0,10.0,27.9,37.44,1.0,1.0,1.0,1.0
163,OCFSU2956,OCFSU2956-110922,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 2,LÉNTICO (HUMEDAL),2022-09-05 00:00:00,2022,14.0,3.0,3.0,89.6,54.9,38.2,14.34,29.76,1.0,1.0,1.0,1.0
165,OCFSU2957,OCFSU2957-110922,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 1,LÉNTICO (HUMEDAL),2022-09-05 00:00:00,2022,12.0,3.0,3.0,87.2,57.2,40.8,12.57,23.04,1.0,1.0,1.0,1.0
166,OCFSU2982,OCFSU2982-210822,PRESA CHICOASEN 2,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,12.0,15.0,15.0,132.3,86.1,57.8,16.29,22.45,1.0,1.0,1.0,1.0
167,OCFSU2983,OCFSU2983-210822,C.H. CHICOASEN AGUAS ARRIBA,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,16.0,28.0,20.0,144.3,93.1,60.2,19.92,26.35,1.0,1.0,1.0,1.0
168,OCFSU2981,OCFSU2981-210822,PARQUE ECOLOGICO OSUMACINTA,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,14.0,75.0,39.0,162.0,98.2,62.1,14.76,20.01,1.0,1.0,1.0,1.0
169,OCFSU2985,OCFSU2985-210822,FALLA MUÑIZ,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,12.0,23.0,23.0,135.9,92.0,62.2,22.32,29.51,1.0,1.0,1.0,1.0
170,OCFSU2984,OCFSU2984-210822,PARQUE ECOLOGICO AMIKUU,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,12.0,23.0,9.0,140.7,92.4,63.9,15.21,27.61,1.0,1.0,1.0,1.0
172,OCFSU2995,OCFSU2995-210822,C.H. CHICOASEN (FTE.  A LA CORTINA),LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,12.0,460.0,43.0,144.7,92.6,61.1,54.12,73.2,1.0,1.0,1.0,1.0
