,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,OD%,DBO5,DQO,TOX_D48,TOX_V15
506,OCLSP3917M1,OCLSP3917M1-210822,RIO TOMATLAN ANTES DESEMBOCADURA AL MAR,LÓTICO - COSTERO (HUMEDAL),2022-10-02,2022,18.5,17329.0,1124.0,79.9,2.0,10.0,1.0,1.0
508,OCLSP3925M1,OCLSP3925M1-110922,RIO TOMATLAN DESPUES DE LA POBLACION DE TOMATLAN,LÓTICO,2022-09-08,2022,22.5,2909.0,241.0,103.3,2.0,10.0,1.0,1.0
509,OCLSP3926M1,OCLSP3926M1-110922,RIO TOMATLAN POBLACION DE TOMATLAN,LÓTICO,2022-09-08,2022,18.6,857.0,20.0,107.9,5.7,10.0,1.0,1.0
510,OCLSP3927M1,OCLSP3927M1-110922,RIO TOMATLAN ANTES DE LA POBLACION DE TOMATLAN,LÓTICO,2022-09-09,2022,14.2,6131.0,148.0,107.6,2.0,10.0,1.0,1.0
511,OCLSP3924M1,OCLSP3924M1-110922,RIO TOMATLAN PUENTE CARRETERA A PUERTO VALLARTA,LÓTICO,2022-09-08,2022,21.4,19863.0,211.0,88.9,2.0,10.0,1.0,1.0
512,OCLSP3941M1,OCLSP3941M1-110922,RIO SAN NICOLAS ENTRADA JOSE MARIA MORELOS,LÓTICO,2022-09-08,2022,33.4,3448.0,246.0,104.1,2.0,10.0,1.0,1.0
513,OCLSP3928M1,OCLSP3928M1-110922,RIO TOMATLAN ABAJO PRESA CAJON DE PEÑAS,LÓTICO,2022-09-09,2022,10.0,2909.0,41.0,105.1,2.0,10.0,1.0,1.0
514,OCLSP3978M1,OCLSP3978M1-040922,SEAPAL NORTE II AGUAS ABAJO,LÓTICO (HUMEDAL),2022-10-01,2022,85.7,24196.0,24196.0,99.4,2.4,10.0,1.0,1.0
515,OCNOR3988,OCNOR3988-210822,SONORA 6,LÓTICO,2022-08-15,2022,10.0,10.0,10.0,132.4,2.0,10.0,1.0,1.63
516,OCNOR3991,OCNOR3991-040922,DERIVADORA DE HUASABAS,LÓTICO,2022-09-02,2022,31.5,2247.0,110.0,102.7,2.0,10.0,1.0,1.0
517,OCNOR3989,OCNOR3989-210822,CANANEA,LÓTICO (HUMEDAL),2022-08-15,2022,75.4,20.0,10.0,91.3,5.26,20.26,2.51,1.0
519,OCNOR4022,OCNOR4022-140822,RIO SONORA 4,LÓTICO (HUMEDAL),2022-08-11,2022,3198.0,24196.0,6131.0,92.8,9.4,12.78,1.0,1.0
520,OCNOR4019,OCNOR4019-210822,RIO SONORA 3,LÓTICO,2022-10-04,2022,169.9,2755.0,1119.0,104.8,5.8,10.0,1.0,1.0
521,OCNOR4020,OCNOR4020-140822,BAVIACORA,LÓTICO,2022-10-03,2022,139.7,3076.0,315.0,89.7,5.3,21.63,1.0,1.0
522,OCNOR4023,OCNOR4023-140822,RIO SONORA 5,LÓTICO (HUMEDAL),2022-08-09,2022,1559.0,30760.0,3640.0,95.5,12.2,79.13,1.0,1.0
523,OCNOR4024,OCNOR4024-310722,ARIZPE,LÓTICO,2022-07-26,2022,7766.7,24196.0,17329.0,90.6,2.0,233.79,1.0,1.0
524,OCNOR4026,OCNOR4026-210822,RIO BACANUCHI,LÓTICO,2022-08-15,2022,48.1,2142.0,460.0,82.8,2.0,10.0,1.0,1.0
525,OCNOR4028,OCNOR4028-210822,BACOACHI,LÓTICO (HUMEDAL),2022-08-15,2022,31.9,2359.0,657.0,89.9,2.0,10.0,1.0,1.0
526,OCNOR4047,OCNOR4047-040922,SAN JOSE DE PIMAS RIO,LÓTICO,2022-08-31,2022,21.9,24196.0,5475.0,56.5,11.2,19.04,1.0,1.0
527,OCNOR4049,OCNOR4049-110922,RIO YAQUI 7,LÓTICO (HUMEDAL),2022-09-29,2022,18.5,1236.0,10.0,78.0,8.1,10.0,1.0,1.0
528,OCNOR4050,OCNOR4050-110922,RIO YAQUI 8,LÓTICO (HUMEDAL),2022-09-29,2022,50.0,2382.0,10.0,96.9,8.6,10.0,1.0,1.0
529,OCNOR4043,OCNOR4043-070822,EFLUENTE DE LA PRESA EL MOLINITO,LÓTICO,2022-08-01,2022,10.0,7270.0,404.0,56.9,2.0,10.92,1.0,1.0
530,OCNOR4051,OCNOR4051-040922,NOVILLO,LÓTICO (HUMEDAL),2022-09-01,2022,21.6,345.0,10.0,43.9,2.0,10.0,1.0,1.0
